agency_id,agency_name,agency_url,agency_timezone,agency_lang
XB,Lok Ma Chau Crossing-boundary Coach Services,https://www.td.gov.hk/en/transport_in_hong_kong/land_based_cross_boundary_transport/access_to_lok_ma_chau_control_point,Asia/Hong_Kong,EN
PI,Park Island Transport (Bus Services),http://www.pitcl.com.hk,Asia/Hong_Kong,EN
LWB,Long Win Bus,http://www.lwb.hk,Asia/Hong_Kong,EN
KMB,Kowloon Motor Bus,https://www.kmb.hk,Asia/Hong_Kong,EN
KMB+CTB,Kowloon Motor Bus|Citybus,https://www.kmb.hk|https://www.citybus.com.hk,Asia/Hong_Kong,EN
LWB+CTB,Long Win Bus|Citybus,http://www.lwb.hk|https://www.citybus.com.hk,Asia/Hong_Kong,EN
CTB,Citybus,https://www.citybus.com.hk,Asia/Hong_Kong,EN
DB,Discovery Bay Transit Services (Bus Services),https://www.dbcommunity.hk,Asia/Hong_Kong,EN
LRTFeeder,MTR Bus,https://www.mtr.com.hk,Asia/Hong_Kong,EN
NLB,New Lantao Bus,https://www.nlb.com.hk,Asia/Hong_Kong,EN
GMB,Green Minibus Services,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/minibuses,Asia/Hong_Kong,en
FERRY,Ferry Services,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/ferries,Asia/Hong_Kong,en
PTRAM,Peak Tram,https://www.thepeak.com.hk/en/the-peak-experience/the-peak-tram-upgrade-project,Asia/Hong_Kong,en
TRAM,HK Tramways,https://www.hktramways.com,Asia/Hong_Kong,en
